LETRA;NÚMERO;CLASSIF;DESCRICAO;DESCRABREV;REFER
A;0;;Cólera;A00   Colera;
A;1;;Febres tifóide e paratifóide;A01   Febres tifoide e paratifoide;
A;2;;Outras infecções por Salmonella;A02   Outr infecc p/Salmonella;
A;3;;Shiguelose;A03   Shiguelose;
A;4;;Outras infecções intestinais bacterianas;A04   Outr infecc intestinais bacter;
A;5;;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;A05   Outr intox alimentares bacter NCOP;
A;6;;Amebíase;A06   Amebiase;
A;7;;Outras doenças intestinais por protozoários;A07   Outr doenc intestinais p/protozoarios;
A;8;;Infecções intestinais virais, outras e as não especificadas;A08   Infecc intestinais virais outr e as NE;
A;9;;Diarréia e gastroenterite de origem infecciosa presumível;A09   Diarreia e gastroenterite orig infecc presum;
A;15;;Tuberculose respiratória, com confirmação bacteriológica e histológica;A15   Tuberc respirat c/conf bacteriol e histolog;
A;16;;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;A16   Tuberc vias respirat s/conf bacter histol;
A;17;+;Tuberculose do sistema nervoso;A17   Tuberc do sist nervoso;
A;18;;Tuberculose de outros órgãos;A18   Tuberc de outr orgaos;
A;19;;Tuberculose miliar;A19   Tuberc miliar;
A;20;;Peste;A20   Peste;
A;21;;Tularemia;A21   Tularemia;
A;22;;Carbúnculo;A22   Carbunculo;
A;23;;Brucelose;A23   Brucelose;
A;24;;Mormo e melioidose;A24   Mormo e melioidose;
A;25;;Febres transmitidas por mordedura de rato;A25   Febres transm p/mordedura de rato;
A;26;;Erisipelóide;A26   Erisipeloide;
A;27;;Leptospirose;A27   Leptospirose;
A;28;;Outras doenças bacterianas zoonóticas não classificadas em outra parte;A28   Outr doenc bacter zoonoticas NCOP;
A;30;;Hanseníase [doença de Hansen] [lepra];A30   Hanseniase;
A;31;;Infecções devidas a outras micobactérias;A31   Infecc dev outr micobacterias;
A;32;;Listeriose [listeríase];A32   Listeriose;
A;33;;Tétano do recém-nascido [neonatal];A33   Tetano do recem-nascido;
A;34;;Tétano obstétrico;A34   Tetano obstetrico;
A;35;;Outros tipos de tétano;A35   Outr tipos de tetano;
A;36;;Difteria;A36   Difteria;
A;37;;Coqueluche;A37   Coqueluche;
A;38;;Escarlatina;A38   Escarlatina;
A;39;;Infecção meningogócica;A39   Infecc meningogocica;
A;40;;Septicemia estreptocócica;A40   Septicemia estreptococica;
A;41;;Outras septicemias;A41   Outr septicemias;
A;42;;Actinomicose;A42   Actinomicose;
A;43;;Nocardiose;A43   Nocardiose;
A;44;;Bartonelose;A44   Bartonelose;
A;46;;Erisipela;A46   Erisipela;
A;48;;Outras doenças bacterianas não classificadas em outra parte;A48   Outr doenc bacter NCOP;
A;49;;Infecção bacteriana de localização não especificada;A49   Infecc bacter de localiz NE;
A;50;;Sífilis congênita;A50   Sifilis congen;
A;51;;Sífilis precoce;A51   Sifilis precoce;
A;52;;Sífilis tardia;A52   Sifilis tard;
A;53;;Outras formas e as não especificadas da sífilis;A53   Outr form e as NE da sifilis;
A;54;;Infecção gonocócica;A54   Infecc gonococica;
A;55;;Linfogranuloma (venéreo) por clamídia;A55   Linfogranuloma p/clamidia;
A;56;;Outras infecções causadas por clamídias transmitidas por via sexual;A56   Outr infecc p/clamidias transm p/via sexual;
A;57;;Cancro mole;A57   Cancro mole;
A;58;;Granuloma inguinal;A58   Granuloma inguinal;
A;59;;Tricomoníase;A59   Tricomoniase;
A;60;;Infecções anogenitais pelo vírus do herpes [herpes simples];A60   Infecc anogenitais p/virus do herpes;
A;63;;Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte;A63   Outr doenc de transm predom sexual NCOP;
