LETRA;CATEGORIA;SUBCATEGORIA;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
A;00;0;;;;Cólera devida a Vibrio cholerae 01, biótipo cholerae;A00.0 Colera dev Vibrio cholerae 01 biot cholerae;;
A;00;1;;;;Cólera devida a Vibrio cholerae 01, biótipo El Tor;A00.1 Colera dev Vibrio cholerae 01 biot El Tor;;
A;00;9;;;;Cólera não especificada;A00.9 Colera NE;;
A;01;0;;;;Febre tifóide;A01.0 Febre tifoide;;
A;01;1;;;;Febre paratifóide A;A01.1 Febre paratifoide A;;
A;01;2;;;;Febre paratifóide B;A01.2 Febre paratifoide B;;
A;01;3;;;;Febre paratifóide C;A01.3 Febre paratifoide C;;
A;01;4;;;;Febre paratifóide não especificada;A01.4 Febre paratifoide NE;;
A;02;0;;;;Enterite por salmonela;A02.0 Enterite p/salmonela;;
A;02;1;;;;Septicemia por salmonela;A02.1 Septicemia p/salmonela;;
A;02;2;;;;Infecções localizadas por salmonela;A02.2 Infecc localizadas p/salmonela;;
A;02;8;;;;Outras infecções especificadas por salmonela;A02.8 Outr infecc espec p/salmonela;;
A;02;9;;;;Infecção não especificada por salmonela;A02.9 Infecc NE p/salmonela;;
A;03;0;;;;Shiguelose devida a Shigella dysenteriae;A03.0 Shiguelose dev Shigella dysenteriae;;
A;03;1;;;;Shiguelose devida a Shigella flexneri;A03.1 Shiguelose dev Shigella flexneri;;
A;03;2;;;;Shiguelose devida a Shigella boydii;A03.2 Shiguelose dev Shigella boydii;;
A;03;3;;;;Shiguelose devida a Shigella sonnei;A03.3 Shiguelose dev Shigella sonnei;;
A;03;8;;;;Outras shigueloses;A03.8 Outr shigueloses;;
A;03;9;;;;Shiguelose não especificada;A03.9 Shiguelose NE;;
A;04;0;;;;Infecção por Escherichia coli enteropatogênica;A04.0 Infecc p/Escherichia coli enteropatogenica;;
A;04;1;;;;Infecção por Escherichia coli enterotoxigênica;A04.1 Infecc p/Escherichia coli enterotoxigenica;;
A;04;2;;;;Infecção por Escherichia coli enteroinvasiva;A04.2 Infecc p/Escherichia coli enteroinvasiva;;
A;04;3;;;;Infecção por Escherichia coli enterohemorrágica;A04.3 Infecc p/Escherichia coli enterohemorragica;;
A;04;4;;;;Outras infecções intestinais por Escherichia coli;A04.4 Outr infecc intestinais p/Escherichia coli;;
A;04;5;;;;Enterite por Campylobacter;A04.5 Enterite p/Campylobacter;;
A;04;6;;;;Enterite devida a Yersinia enterocolítica;A04.6 Enterite dev Yersinia enterocolitica;;
A;04;7;;;;Enterocolite devida a Clostridium difficile;A04.7 Enterocolite dev Clostridium difficile;;
A;04;8;;;;Outras infecções bacterianas intestinais especificadas;A04.8 Outr infecc bacter intestinais espec;;
A;04;9;;;;Infecção intestinal bacteriana não especificada;A04.9 Infecc intestinal bacter NE;;
A;05;0;;;;Intoxicação alimentar estafilocócica;A05.0 Intox alimentar estafilococica;;
A;05;1;;;;Botulismo;A05.1 Botulismo;;
A;05;2;;;;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii];A05.2 Intox alimentar dev Clostridium perfringens;;
A;05;3;;;;Intoxicação alimentar devida a Vibrio parahemolyticus;A05.3 Intox alimentar dev Vibrio parahemolyticus;;
A;05;4;;;;Intoxicação alimentar devida a Bacillus cereus;A05.4 Intox alimentar dev Bacillus cereus;;
A;05;8;;;;Outras intoxicações alimentares bacterianas especificadas;A05.8 Outr intox alimentares bacter espec;;
A;05;9;;;;Intoxicação alimentar bacteriana não especificada;A05.9 Intox alimentar bacter NE;;
A;06;0;;;;Disenteria amebiana aguda;A06.0 Disenteria amebiana aguda;;
A;06;1;;;;Amebíase intestinal crônica;A06.1 Amebiase intestinal cronica;;
A;06;2;;;;Colite amebiana não-disentérica;A06.2 Colite amebiana nao-disenterica;;
A;06;3;;;;Ameboma intestinal;A06.3 Ameboma intestinal;;
A;06;4;;;;Abscesso amebiano do fígado;A06.4 Abscesso amebiano do figado;;
A;06;5;+;;;Abscesso amebiano do pulmão;A06.5 Abscesso amebiano do pulmao;J99.8*;
A;06;6;+;;;Abscesso amebiano do cérebro;A06.6 Abscesso amebiano do cerebro;G07*;
A;06;7;;;;Amebíase cutânea;A06.7 Amebiase cutanea;;
A;06;8;;;;Infecção amebiana de outras localizações;A06.8 Infecc amebiana de outr localiz;;
